region,district,area
Greater Accra,Ada West,Zutakope
Volta,Akatsi South,Zuta
Upper East,Unknown,Zusablaga
Northern,Gushiegu,Zuoyili
Northern,Tamale,Zuorugu
Upper East,Kassena Nankana,Zuo
Northern,Tamale,Zuo
Upper East,North Builsa District,Zundem
Volta,North Tongu,Zumai
Upper East,Binduri District,Zulugu
Northern,Gushiegu,Zulor
Upper East,Bawku Municipal District,Zuli
Upper East,Binduri District,Zuku
Northern,Tamale,Zujung
Upper East,Pusiga,Zuugu
Upper East,Talensi-Nabdam,Zubiong
North East,West Mamprusi,Zuawlugu
Upper East,Bolgatanga Municipal District,Zuarungu
Upper East,Bawku West,Zua
Northern,Zabzugu District,Zoya
Upper East,Talensi-Nabdam,Zoseko
Northern,Savelugu Municipal District,Zosalli
Upper East,North Builsa District,Zosa
Northern,Kumbumgu,Zugu
Oti,Krachi Nchumuru,Zongo Macheri
Upper East,Bawku West,Zongoiri
Bono East,Kintampo South District,Zongo Dagi
Volta,Central Tongu,Zongo
Volta,North Tongu,Zondu
Northern,Tolon District,Zonayili
Upper East,Bawku Municipal District,Zuulugu
Volta,Ho,Zomai
Volta,Agotime Ziope,Zomai
Volta,Akatsi District,Zomai
Upper East,Unknown,Zokwema
Volta,Ketu South District,Zokotokofe
Upper East,Bongo District,Zoko
North East,East Mamprusi,Zojirigu
Northern,Savelugu Municipal District,Zogoga
Northern,Savelugu Municipal District,Zogaw
Volta,Agotime Ziope,Zochiakofe
Bono,Jaman North,Zobo
Upper East,Talensi-Nabdam,Zobero
Upper East,Talensi-Nabdam,Zoan Buliga
Upper East,Pusiga,Zoabuliga
Upper East,Nabdam,Zoa
North East,West Mamprusi,Zoa
Volta,Agotime Ziope,Ziwofia
Volta,South Tongu District,Ziwenu
Volta,Ho West,Zitoe
Northern,Tolon District,Zisie
Northern,Mion,Ziro
Upper East,Unknown,Zirigazorga
Greater Accra,Shai Osudoku District,Zipanya
Northern,Savelugu Municipal District,Ziong
Volta,Agotime Ziope,Ziofe
Northern,Karaga,Zinye
Upper West,Sissala West,Zini
Volta,Central Tongu,Zingakofe
Upper East,Kassena Nankana West,Zenga
Northern,Tolon District,Zinduyiri
Northern,Karaga,Zindimdo
Northern,Unknown,Zincha Lagoon
Western,Jomoro,Zinabo
Upper West,Nandom,Zimuopare
North East,East Mamprusi,Zimliga
Northern,Mion,Ziluno
Northern,Karaga,Zikia
North East,East Mamprusi,Zikeya
Upper East,Bawku West,Zika
Volta,Ketu North District,Zigbli
Savannah,Central Gonja,Ziganayiri
Upper East,Bawku West,Saka Ziego
Upper East,Bawku Municipal District,Ziedi
Northern,Sagnerigu,Zidung
Volta,South Dayi,Ziavi
Greater Accra,Shai Osudoku District,Ziapon
Bono,Jaman South,Segera
Volta,South Tongu District,Zewukofe
Northern,Tolon District,Zergua
Upper West,Sissala East,Zenu
Greater Accra,Tema Metropolitan District,Zenu
Volta,Akatsi District,Zemu
Volta,Keta,Zedevu
Upper East,Nabdam,Zogabre
Upper East,Bawku West,Zebilla Natinga
Volta,Adaklu,Zebe
Volta,Central Tongu,Zawtipo
Upper East,Bawku Municipal District,Zorsi Natinga
Upper East,Binduri District,Zawse
Upper East,Bawku West,Zawngo
Upper East,Garu District,Zawngo
Northern,Sagnerigu,Zawire
Upper East,Binduri District,Zaugo
Volta,Ho,Zawe
Savannah,Central Gonja,Zaw
Upper East,Garu District,Zariboku
Upper East,Bolgatanga Municipal District,Zare
North East,East Mamprusi,Zare
Upper East,Pusiga,Sarabogo
Upper East,Talensi-Nabdam,Zanwure
Savannah,Bole,Jantigi
Savannah,North Gonja,Zantana
Upper East,Nabdam,Zanlerigu
Northern,Karaga,Zankalla
Greater Accra,Shai Osudoku District,Zanidaw
North East,West Mamprusi,Zanguyakura
North East,West Mamprusi,Zangum
North East,West Mamprusi,Zangu
North East,Mamprugo Moaduri District,Zangbieri
Upper West,Sissala East,Zangbieri
Northern,Kumbumgu,Zangbulung
North East,Chereponi,Zangbana
North East,East Mamprusi,Zandua
Northern,Karaga,Zandua
Upper West,Wa West,Zan
North East,East Mamprusi,Zambulukurugu
North East,East Mamprusi,Zambulugu
Upper West,Sissala East,Zambuluga
Upper West,Lawra,Zambo
North East,East Mamprusi,Zambolugu
Upper East,Garu District,Zambala
Volta,Adaklu,Zamachikofe
Volta,Ketu South District,Zaklikofe
Volta,Ketu North District,Gyagoto
Northern,Saboba,Segbeli
Upper East,Binduri District,Zaga
Upper East,Garu District,Sabzundi
Northern,Zabzugu District,Zabzugu
Upper East,Bawku Municipal District,Zabugu
Northern,Karaga,Yuwail
Upper East,Kassena Nankana,Yuwa
North East,Bunkpurugu Nakpanduri District,Yunyoo
North East,East Mamprusi,Yunyonayiri
North East,Bunkpurugu Nakpanduri District,Yunyo
Savannah,Sawla-Tuna-Kalba,Yungbu
Northern,Savelugu Municipal District,Ying
Greater Accra,Shai Osudoku District,Yukunya
Volta,South Tongu District,Yufukope
Volta,South Tongu District,Yuawkutikpo
Eastern,Asuogyaman,Yuagasi
Eastern,Lower Manya Krobo,Yuaga
Ashanti,Amansie Central,Yiwoabra
Western,Wassa Amenfi Central,Yaubra
Western North,Aowin/Suaman,Yuabra
Savannah,Sawla-Tuna-Kalba,Yipala
Western,Unknown,Yoyo River Forest Reserve
Western North,Aowin/Suaman,Yoyonon
Bono,Unknown,Yoyo
Western North,Unknown,Yoyo
Volta,South Tongu District,Yove
Volta,Ho West,Yotikpe
Upper East,Bawku West,Yarugu
Northern,Savelugu Municipal District,Yorro
Upper East,Bongo District,Yorogo
Ashanti,Ejura Sekyedumase,Yoribon
Greater Accra,Shai Osudoku District,Yopwe
Eastern,Lower Manya Krobo,Yongwa
